region_id,iT,iC,T_low,T_high,C_low,C_high,Tss,Caoss,Cass,Cbss,fss,aCa,aCb,aT,aCao,b
23,7,2,394.54545454545456,410.9090909090909,1.0666666666666667,1.2,402.72727272727275,1.1333333333333333,0.5394529195529391,0.8122391724398911,1.1368683772161603e-11,-182.89453153451893,-227.8171968637264,-0.5948155817801508,43.018827722051554,-474.49882606242465
24,8,0,410.9090909090909,427.27272727272725,0.8,0.9333333333333333,419.09090909090907,0.8666666666666667,0.3305609732450808,0.9277886131561732,-4.263256414560601e-11,-629.093163224904,-478.2643423903909,-1.2094215866146634,107.80763612533232,-1065.106166812392
25,8,1,410.9090909090909,427.27272727272725,0.9333333333333333,1.0666666666666667,419.09090909090907,1.0,0.424304281807167,0.8486085636143547,-7.190692485892214e-12,-543.9139871926294,-542.9139871926188,-1.2987342560358819,107.80763612533232,-1127.9865764425554
26,8,2,410.9090909090909,427.27272727272725,1.0666666666666667,1.2,419.09090909090907,1.1333333333333333,0.5252629928892313,0.7838593191124267,2.8251179173821583e-11,-479.90264370917475,-605.4882859744356,-1.3717694196018062,107.80763612533232,-1179.4068400199549
27,9,0,427.27272727272725,443.6363636363636,0.8,0.9333333333333333,435.45454545454544,0.8666666666666667,0.3187613728080408,0.9041894122821104,-1.0260237104375847e-10,-1561.012511323078,-1174.5764868928188,-2.6702913771475743,254.1106148126429,-2502.1914328064713
28,9,1,427.27272727272725,443.6363636363636,0.9333333333333333,1.0666666666666667,435.45454545454544,1.0,0.4119755738259484,0.8239511476518734,-1.9042545318370685e-11,-1339.3538305096604,-1338.3538305096913,-2.8658174548801547,254.1106148126429,-2648.3418598508188
29,9,2,427.27272727272725,443.6363636363636,1.0666666666666667,1.2,435.45454545454544,1.1333333333333333,0.512718892376716,0.7587711180873865,6.446043698815629e-11,-1174.4451872130537,-1496.8925968326603,-3.0246493486892483,254.1106148126429,-2767.064382072423
30,10,0,443.6363636363636,460.0,0.8,0.9333333333333333,451.8181818181818,0.8666666666666667,0.3081268603841589,0.8829203874342645,-2.2180302039487287e-10,-3630.5276010371385,-2703.4946647768065,-5.592688441761183,564.4775053043785,-5543.298113398225
31,10,1,443.6363636363636,460.0,0.9333333333333333,1.0666666666666667,451.8181818181818,1.0,0.4008621827097463,0.8017243654194792,-3.603872755775228e-11,-3092.5313586951315,-3091.531358695173,-5.999198460134487,564.4775053043785,-5864.304322589161
32,10,2,443.6363636363636,460.0,1.0666666666666667,1.2,451.8181818181818,1.1333333333333333,0.5014236344358814,0.7361806022059784,1.4983925211708993e-10,-2696.0735020464444,-3467.2014247681777,-6.32734503341382,564.4775053043785,-6123.429763012856
