Temperature (T),Ca,Cb,res_nonlinear,res_lin_500K,res_lin_600K,res_affine
522.4048096192384,0.3628641210561686,0.7257282421143774,-1.051375875249505e-09,-45.767380621124175,-10511.994060083292,-2390.705542472565
523.0460921843687,0.3625771675271811,0.7251543350521452,-1.0950316209346056e-09,-48.42746213095961,-10323.628560998477,-2416.459779505235
523.687374749499,0.3622910880474201,0.7245821760956245,-5.344481905922294e-07,-51.15864302562841,-10137.251631424762,-2440.2892867706723
524.3286573146293,0.3620058787553448,0.7240117575087852,-1.1241354513913393e-09,-53.96060883854807,-9952.85447608633,-2462.2285757401123
524.9699398797595,0.3617215358223887,0.7234430716476202,-5.622096068691462e-07,-56.83304849239357,-9770.428394502029,-2482.3119665541185
525.6112224448898,0.3614380554299247,0.7228761108608769,-1.3096723705530167e-09,-59.77565098289051,-9589.964688233333,-2500.5735647316023
526.2525050100201,0.3611554337935071,0.7223108675871273,-1.2259988579899073e-09,-62.78810866815911,-9411.454752884572,-2517.0472878111473
526.8937875751503,0.3608736671425386,0.7217473342851033,-1.4479155652225018e-09,-65.87011482848902,-9234.890009851428,-2531.76684811923
527.5350701402806,0.3605927517291791,0.7211855034566952,6.194823072291911e-07,-69.02136453141429,-9060.261930517154,-2544.7657608569493
528.1763527054109,0.3603126838340723,0.7206253676653626,6.352420314215124e-07,-72.24155528628035,-8887.562054559821,-2556.077351273979
528.8176352705411,0.3600334597520289,0.7200669195007471,6.510308594442904e-07,-75.5303856964747,-8716.78195225657,-2565.7347449576846
529.4589178356714,0.3597550758046626,0.7195101516147556,-6.708833097945899e-07,-78.88755678046437,-8547.913261431735,-2573.7708805955726
530.1002004008016,0.3594775283266639,0.7189550566523917,-1.8480932340025902e-09,-82.31276972411433,-8380.947624590714,-2580.2184915697276
530.7414829659318,0.3592008136856671,0.7184016273715631,-7.056478352751583e-07,-85.80572966793261,-8215.876794846961,-2585.1101412880957
531.3827655310621,0.3589249282549446,0.7178498565130456,-1.6589183360338211e-09,-89.36614144076884,-8052.692516596522,-2588.4781862291247
532.0240480961924,0.358649868448751,0.717299736896969,-2.040906110778451e-09,-92.99371313439042,-7891.386625495506,-2590.35481011897
532.6653306613226,0.3583756306862756,0.7167512613672516,-2.535671228542924e-09,-96.68815361935413,-7731.950978982961,-2590.772002385421
533.3066132264529,0.3581022114076251,0.7162044228165757,-2.342858351767063e-09,-100.44917365566653,-7574.377487341873,-2589.761569917485
533.9478957915832,0.3578296070838177,0.7156592141676432,-2.382876118645072e-09,-104.27648565542768,-7418.658107064199,-2587.3551362899884
534.5891783567134,0.3575578141976773,0.7151156284001652,-8.184470061678439e-07,-108.16980389668606,-7264.784846828785,-2583.5841453998537
535.2304609218437,0.3572868292517034,0.7145736585006446,-3.0995579436421394e-09,-112.12884337511787,-7112.749735387275,-2578.4798510218866
535.871743486974,0.3570166487715367,0.7140332975422166,-2.790329745039344e-09,-116.15332206290623,-6962.5448847396765,-2572.073341540146
536.5130260521041,0.3567472693021239,0.7134945386042855,-2.8339854907244444e-09,-120.2429586257058,-6814.162426281953,-2564.395517757901
537.1543086172344,0.3564786874076283,0.7129573748140204,-3.7216523196548223e-09,-124.39747354533756,-6667.5945422069635,-2555.4771058697124
537.7955911823647,0.3562108996691375,0.7124217993398121,-2.76122591458261e-09,-128.61658888028614,-6522.833458803361,-2545.3486563502056
538.4368737474949,0.3559439026935379,0.7118878053820458,-4.409230314195156e-09,-132.90002825605916,-6379.871446189005,-2534.040545209039
539.0781563126252,0.3556776930951169,0.7113553861909166,-3.6598066799342632e-09,-137.24751684942748,-6238.700817869045,-2521.5829751637034
539.7194388777555,0.3554122675240851,0.7108245350546588,-1.9853978301398456e-06,-141.6587818426633,-6099.313943439163,-2508.0059823004285
540.3607214428857,0.3551476226232751,0.7102952452401861,2.0256120478734374e-06,-146.13354963986785,-5961.703170730965,-2493.339404725531
541.002004008016,0.354883755090375,0.7097675101858644,-4.43833414465189e-09,-150.6715527814522,-5825.861019202042,-2477.6129652657246
541.6432865731463,0.3546206616154335,0.7092413232400856,-2.1338273654691875e-06,-155.27252116103773,-5691.779934281716,-2460.856169350369
542.2845691382765,0.3543583389014086,0.7087166777931545,2.175664121750742e-06,-159.93618615876767,-5559.452402976109,-2443.09835399135
542.9258517034068,0.3540967836989084,0.7081935673967086,-4.9622030928730965e-09,-164.66228482129372,-5428.871070777066,-2424.3687416383805
543.5671342685371,0.3538359927471439,0.7076719854968785,-4.016328603029251e-09,-169.45055102546758,-5300.028494520346,-2404.696332419829
544.2084168336673,0.353575962822802,0.7071519256420498,-7.021299097687006e-09,-174.30072243690665,-5172.917337009218,-2384.1099913239846
544.8496993987976,0.3533166907094717,0.7066333814100862,-7.55971996113658e-09,-179.21253770767362,-5047.530288637616,-2362.6384147780573
545.4909819639279,0.3530581732073607,0.7061163464155047,-4.831235855817795e-09,-184.1857369342688,-4923.860080198152,-2340.310137577359
546.1322645290581,0.3528004071483584,0.7056008142940408,-6.766640581190586e-09,-189.22006164763297,-4801.899482602719,-2317.153534000061
546.7735470941884,0.3525433893627467,0.7050867787180323,2.5657209334895015e-06,-194.3152543275355,-4681.64129330148,-2293.196812436793
547.4148296593187,0.3522871167198792,0.7045742334423589,-7.734342943876982e-09,-199.4710607513116,-4563.078401973238,-2268.468048593213
548.056112224449,0.3520315860900465,0.7040631721859058,-2.705797669477761e-06,-204.68722574569983,-4446.2036717101,-2242.995129036811
548.6973947895792,0.3517767943527954,0.703553588709338,-6.650225259363651e-09,-209.9634955212823,-4331.010004309006,-2216.8057833678117
549.3386773547095,0.3515227384312557,0.7030454768680496,-7.07223080098629e-09,-215.29962003894616,-4217.4904064578,-2189.927619270055
549.9799599198396,0.3512694152508155,0.702538830496006,-9.502400644123554e-09,-220.69534873979137,-4105.637870306848,-2162.388063927814
550.6212424849699,0.3510168217392415,0.7020336434749113,2.9503426048904657e-06,-226.15043242381944,-3995.445426014485,-2134.2143911031812
551.2625250501002,0.3507649548766058,0.7015299097544048,-1.0688381735235453e-08,-231.66462515135936,-3886.9061949253082,-2105.433750498405
551.9038076152304,0.3505138116288612,0.7010276232600064,-3.11140320263803e-06,-237.2376799459089,-3780.01326938509,-2076.073106127768
552.5450901803607,0.3502633889729752,0.7005267779375375,3.1581585062667727e-06,-242.86935068007733,-3674.759765488794,-2046.159264032473
553.186372745491,0.3500136839430093,0.7000273678834613,-1.2652890291064978e-08,-248.5593968592002,-3571.1389568727463,-2015.718946413499
553.8276553106213,0.349764693547996,0.6995293870913458,-1.3205863069742918e-08,-254.30757452000398,-3469.1440201587975,-1984.7786552786818
554.4689378757514,0.3495164148294819,0.6990328296587064,-1.3998942449688911e-08,-260.11364339929423,-3368.7682354575954,-1953.3647819192238
555.1102204408817,0.3492688448476913,0.6985376896945298,-1.673470251262188e-09,-265.9773640514177,-3270.00490574399,-1921.5035643829929
555.751503006012,0.34902198066896,0.6980439613494009,6.366462912410498e-09,-271.8984983243281,-3172.8473701742478,-1889.2210958166058
556.3927855711422,0.3487758193918149,0.6975516387888947,-1.7462298274040222e-09,-277.8768093453182,-3077.289003686281,-1856.543325352424
557.0340681362725,0.3485303581146009,0.6970607162431939,-3.6830970202572644e-06,-283.91206198853615,-2983.32323007565,-1823.4960668734893
557.6753507014027,0.3482855939550471,0.6965711879167573,-3.7677527870982885e-06,-290.00402095627214,-2890.9434683308937,-1790.1049687607117
558.316633266533,0.34804152404603,0.6960830480981608,-3.85421299142763e-06,-296.15245364233124,-2800.143212719355,-1756.3955616411554
558.9579158316633,0.3477981455355043,0.6955962910713731,-1.6079866327345371e-09,-302.3571277244555,-2710.9159654497635,-1722.3932200266302
559.5991983967936,0.3475554555989661,0.6951109111919336,-2.2162566892802715e-08,-308.61781356777647,-2623.2553038946353,-1688.1232035942442
560.2404809619238,0.3473134514054185,0.6946269028134899,-1.9208528101444244e-09,-314.9342813100957,-2537.1547990674153,-1653.610609241659
560.8817635270541,0.3470721301648261,0.694144260347608,-8.367744158022106e-06,-321.30630377032503,-2452.6080969695468,-1618.8804215537384
561.5230460921844,0.3468314890683902,0.6936629781268141,-2.240994945168495e-09,-327.7336511154572,-2369.6087694314774,-1583.9574213018661
562.1643286573146,0.3465915253523692,0.6931830506963315,-2.08092387765646e-09,-334.216100501435,-2288.150583756622,-1548.8663544207916
