Temperature (T),v_region_1,v_region_2
419.3984962406015,,5.512481493497035e-07
419.8496240601504,,5.348124432202894e-07
420.30075187969925,,5.183767370908754e-07
420.7518796992481,,5.019410309614614e-07
421.203007518797,,4.855053248320473e-07
421.6541353383459,,4.690696187026333e-07
422.10526315789474,,4.52634026260057e-07
422.5563909774436,,4.3619820644380525e-07
423.0075187969925,,4.197625003143912e-07
423.4586466165414,,4.0332702155865263e-07
423.90977443609023,,3.868913154292386e-07
424.3609022556391,,3.7045549561298685e-07
424.812030075188,,3.540197894835728e-07
425.2631578947368,,3.3758396966732107e-07
425.71428571428567,,3.211484909115825e-07
426.16541353383457,,3.0471278478216846e-07
426.61654135338347,,2.882770786527544e-07
427.0676691729323,,2.718413725233404e-07
427.51879699248116,,2.5540566639392637e-07
427.96992481203006,,2.3896996026451234e-07
428.42105263157896,,2.225342541350983e-07
428.8721804511278,,2.0609854800568428e-07
429.32330827067665,,1.896630692499457e-07
429.77443609022555,,1.7322724943369394e-07
430.22556390977445,,1.567915433042799e-07
430.6766917293233,,1.403559508617036e-07
431.12781954887214,,1.2392024473228958e-07
431.57894736842104,,1.0748442491603782e-07
432.03007518796994,,9.10487187866238e-08
432.4812030075188,,7.461312634404749e-08
432.93233082706763,,5.817742021463346e-08
433.38345864661653,,4.174171408521943e-08
433.83458646616543,,2.530612164264312e-08
434.2857142857143,,8.87041551322909e-09
434.7368421052631,,7.56540430302266e-09
435.187969924812,,2.4000996745598968e-08
435.6390977443609,,4.0436702875013e-08
436.09022556390977,,5.687252269126475e-08
436.5413533834586,,7.330822882067878e-08
436.9924812030075,,8.974393495009281e-08
437.4436090225564,,1.061794137058314e-07
437.89473684210526,,1.2261511983524542e-07
438.3458646616541,,1.3905082596465945e-07
438.796992481203,,1.5548653209407348e-07
439.2481203007519,,1.719222382234875e-07
439.69924812030075,,1.8835794435290154e-07
440.1503759398496,,2.0479365048231557e-07
440.6015037593985,,2.212293566117296e-07
441.0526315789474,,2.3766506274114363e-07
441.50375939849624,,2.5410065518371994e-07
441.9548872180451,,2.705364749999717e-07
442.406015037594,,2.869721811293857e-07
442.8571428571429,,3.03407773571962e-07
443.30827067669173,,3.1984347970137605e-07
443.7593984962406,,3.3627907214395236e-07
444.2105263157895,,3.527147782733664e-07
444.6616541353383,,3.691504844027804e-07
445.11278195488717,,3.8558619053219445e-07
445.56390977443607,,4.020218966616085e-07
446.01503759398497,,4.184576027910225e-07
446.4661654135338,,4.3489330892043654e-07
446.91729323308266,,4.5132901504985057e-07
447.36842105263156,,4.677647211792646e-07
447.81954887218046,,4.842004273086786e-07
448.2706766917293,,5.006359060644172e-07
448.72180451127815,,5.17071725880669e-07
449.17293233082705,,5.33507432010083e-07
449.62406015037595,,5.499430244526593e-07
450.0751879699248,,5.663787305820733e-07
450.52631578947364,,5.828145503983251e-07
450.97744360902254,,5.992501428409014e-07
451.42857142857144,,6.156858489703154e-07
451.8796992481203,,6.321215550997294e-07
452.33082706766913,,6.485572612291435e-07
452.78195488721803,,6.649929673585575e-07
453.23308270676694,,6.814286734879715e-07
453.6842105263158,,6.978643796173856e-07
454.1353383458646,,7.143000857467996e-07
454.5864661654135,,7.307356781893759e-07
455.0375939849624,,7.471713843187899e-07
455.4887218045113,,7.636072041350417e-07
455.9398496240601,,7.80042796577618e-07
456.390977443609,,7.96478502707032e-07
456.8421052631579,,8.129140951496083e-07
457.29323308270676,,8.293498012790224e-07
457.7443609022556,,8.457855074084364e-07
458.1954887218045,,8.622212135378504e-07
458.6466165413534,,8.786569196672644e-07
459.09774436090225,,8.950926257966785e-07
459.5488721804511,,9.115283319260925e-07
460.0,,9.278280685975915e-07
