region_id,T_low,T_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual,mean_abs_y_PL_error_scaled,rmse_y_PL_error_scaled,max_abs_y_PL_error_scaled,mean_abs_y_PL_error_original,rmse_y_PL_error_original,max_abs_y_PL_error_original,mean_abs_f_PL,max_abs_f_PL,mean_abs_dCa,mean_abs_dCb,max_abs_dCa,max_abs_dCb,mean_abs_df_dCa,mean_abs_df_dCb,max_abs_df_dCa,max_abs_df_dCb,mean_amplification,max_amplification
24,306.6666666666667,307.77777777777777,2,7.923805409672512e-06,1.1205953075532075e-05,1.5847610818733957e-05,2.949029909160572e-17,7.923805409643022e-06,2.6928181366958626e-06,5.292388940477342e-06,1.2410511258886814e-05,3.2961948643328576e-06,5.8808643940689e-06,1.2331859662650935e-05,7.883747173851631e-06,1.5767494320310244e-05,6.165929841983608e-06,3.7226547510149643e-06,1.2331859662650935e-05,7.445309489151342e-06,1.175742236154493,0.1757422361544927,1.177768170769126,0.1777681707691259,1.0971760861870123,1.0997762444484118
25,307.77777777777777,308.8888888888889,2,3.924249720854283e-05,5.549727177322238e-05,7.848499441639664e-05,2.42861286636753e-17,3.924249720856712e-05,1.3186731957715025e-05,2.5580270612381447e-05,5.951117670921491e-05,1.6350651341608586e-05,2.89121793426273e-05,5.913402471757756e-05,3.875476265122364e-05,7.750952530064664e-05,2.9567012359454914e-05,1.9484941665370847e-05,5.913402471757756e-05,3.8969883329853516e-05,1.192275592850467,0.19227559285046697,1.1972497333270702,0.1972497333270703,1.10409539238482,1.1137339877334673
26,308.8888888888889,310.0,2,3.119575361212082e-05,4.411745784657112e-05,6.23915072240442e-05,2.42861286636753e-17,3.1195753612096537e-05,1.033906513601505e-05,1.9803429976925538e-05,4.5661686034814686e-05,1.2985031790341273e-05,2.279385908965003e-05,4.53723051692112e-05,3.161202940785927e-05,6.32240588067691e-05,2.2686152587825248e-05,1.6268942783170814e-05,4.53723051692112e-05,3.253788556167869e-05,1.2237868560405576,0.22378685604055742,1.2291272944205804,0.22912729442058033,1.1260756426755352,1.1323713910195017
27,310.0,311.1111111111111,2,3.2630848052427535e-05,4.614698786725896e-05,6.526169610454428e-05,3.122502256758253e-17,3.263084805245876e-05,1.0637431859380117e-05,2.0128274291486443e-05,4.594966247173371e-05,1.3530291539600356e-05,2.361708059657796e-05,4.5658456555797144e-05,3.215413524534916e-05,6.43082704613468e-05,2.2829228288168135e-05,1.7761646330605174e-05,4.5658456555797144e-05,3.552329264544518e-05,1.2355985472842486,0.2355985472842485,1.2414734810739991,0.2414734810739992,1.121689620212858,1.131737123137844
28,311.1111111111111,312.22222222222223,2,2.015926195166981e-06,2.8509501652951256e-06,4.031852389410184e-06,5.377642775528102e-17,2.0159261952207574e-06,6.445466877262144e-07,1.2055919593257582e-06,2.721924308612955e-06,8.301447256831018e-07,1.443163316006768e-06,2.704674117448569e-06,2.024806520223646e-06,4.049613014717873e-06,1.352337067384024e-06,1.1380971096652814e-06,2.704674117448569e-06,2.2761942048976636e-06,1.2682378805775851,0.26823788057758513,1.2700205546948007,0.2700205546948005,1.1440275003780471,1.1455720721240994
29,312.22222222222223,313.3333333333333,1,3.9611993202638944e-16,3.9611993202638944e-16,3.9611993202638944e-16,7.632783294297951e-17,3.197920990834099e-16,2.479498088329516e-15,3.241268185649368e-15,5.10702591327572e-15,3.219646771412954e-15,3.9455895537258945e-15,4.9960036108132044e-15,7.931155732165962e-15,7.931155732165962e-15,4.9960036108132044e-15,4.6629367034256575e-15,4.9960036108132044e-15,4.6629367034256575e-15,1.293526483002323,0.2935264830023231,1.293526483002323,0.2935264830023231,1.149381338404066,1.149381338404066
30,313.3333333333333,314.44444444444446,1,1.1955694196385825e-16,1.1955694196385825e-16,1.1955694196385825e-16,3.8163916471489756e-17,1.57720858435348e-16,5.551115123125783e-16,7.166458808248763e-16,1.1102230246251565e-15,7.401486830834377e-16,9.06493303673679e-16,1.1102230246251565e-15,1.8041124150158794e-15,1.8041124150158794e-15,1.1102230246251565e-15,1.1102230246251565e-15,1.1102230246251565e-15,1.1102230246251565e-15,1.3228345602194418,0.32283456021944174,1.3228345602194418,0.32283456021944174,1.1733553150314264,1.1733553150314264
31,314.44444444444446,315.55555555555554,1,1.8526846723432308e-15,1.8526846723432308e-15,1.8526846723432308e-15,4.85722573273506e-17,1.80411241501588e-15,3.14563190310461e-15,4.042289354994248e-15,6.217248937900877e-15,4.181840059421423e-15,5.123491812361836e-15,6.439293542825908e-15,1.049160758270773e-14,1.049160758270773e-14,6.106226635438361e-15,6.439293542825908e-15,6.106226635438361e-15,6.439293542825908e-15,1.3545409664279138,0.3545409664279138,1.3545409664279138,0.3545409664279138,1.1877399029444475,1.1877399029444475
32,315.55555555555554,316.6666666666667,2,2.4845262913646187e-06,3.513650776490718e-06,4.96905258155593e-06,1.3877787807814457e-17,2.4845262913784965e-06,7.126955403798559e-07,1.2826050673614652e-06,2.7412556690142864e-06,9.623771711394131e-07,1.6695486816512457e-06,3.0503800407810644e-06,2.448290748538473e-06,4.8965814792995e-06,1.3619414875876146e-06,1.525190025830625e-06,2.7238829654052665e-06,3.0503800407810644e-06,1.382547854047103,0.382547854047103,1.3888235830558893,0.38882358305588927,1.2067695625861727,1.2161969691637966
33,316.6666666666667,317.77777777777777,1,1.2844936131207557e-15,1.2844936131207557e-15,1.2844936131207557e-15,9.71445146547012e-17,1.1873490984660545e-15,7.882583474838611e-15,9.948531703291737e-15,1.4765966227514582e-14,1.0732155904709847e-14,1.3196873850640933e-14,1.7541523789077473e-14,2.826211487061414e-14,2.826211487061414e-14,1.4654943925052066e-14,1.7541523789077473e-14,1.4654943925052066e-14,1.7541523789077473e-14,1.425878867306789,0.4258788673067891,1.425878867306789,0.4258788673067891,1.2406897440569373,1.2406897440569373
