region_id,depth,n_samples,criterion,criterion_score,remainder_score,remainder_max,remainder_mean,projected_score,projected_max,projected_mean,stop_reason,anchor_row_index,T_low,T_high,T_center,anchor_T,Cao_low,Cao_high,Cao_center,anchor_Cao,anchor_Ca,data_Ca_min,data_Ca_max,anchor_Cb,data_Cb_min,data_Cb_max,anchor_Cc,data_Cc_min,data_Cc_max
20,7,5,projection,0.9152019114536643,0.7306394061279207,0.7306394061279207,0.36843747423428114,0.9152019114536643,0.9152019114536643,0.40098183547797817,tolerance_met,405,426.955673500098,436.08016366015704,431.5179185801275,430.649872557233,1.029764307521,1.1022143015095,1.06598930451525,1.063192957696,0.4624189847087686,0.4364851643074563,0.4825040680195339,0.798452054025536,0.7904311239650162,0.8140717452363682,1.802321918961696,1.7788923821454656,1.8143533140524497
21,7,6,projection,0.27675972887118405,0.21375716851758852,0.21375716851758852,0.10920957136442173,0.27675972887118405,0.27675972887118405,0.12162656235953288,tolerance_met,404,426.955673500098,435.481523397475,431.21859844878645,430.297876712512,1.1022143015095,1.150091301481,1.12615280149525,1.128986463033,0.513138654271292,0.5022509418418178,0.5167473369578823,0.7683043824766752,0.7587711180873944,0.7805460668936893,1.8475434262850328,1.829180899659493,1.8618433228689
22,6,4,projection,0.5501719444307014,0.8254877231332785,0.8254877231332785,0.43595900990709424,0.5501719444307014,0.5501719444307014,0.3260200750251272,tolerance_met,421,426.955673500098,442.8963065496065,434.92599002485224,435.660093172139,1.150091301481,1.2,1.1750456507405,1.158166710253,0.5320181395373895,0.5224348135221647,0.5523225043129888,0.7477028585687496,0.7446870240822752,0.7551968317743994,1.878445712146861,1.8672047523383823,1.88296946387656
23,6,2,projection,1.0064797415062117,1.0723654139019914,1.0723654139019914,0.5361827069511946,1.0064797415062117,1.0064797415062117,0.5032398707531911,insufficient_data,409,427.89162227131703,441.7121109037385,434.8018665875278,433.337664202166,0.8,0.866666666667,0.8333333333335,0.826444103429,0.2938563773590157,0.2938563773590157,0.315561810822163,0.9348245478599854,0.9131456580723236,0.9348245478599854,1.5977631782099988,1.5977631782099988,1.6302815128915131
24,6,3,projection,0.489063676862429,0.7894126286421397,0.7894126286421397,0.311236278136505,0.489063676862429,0.489063676862429,0.20303427697990628,tolerance_met,428,427.89162227131703,441.7121109037385,434.8018665875278,439.015372054041,0.866666666667,0.903309760031,0.884988213349,0.873067460556,0.3206219237622098,0.3187613728080615,0.3225519961529285,0.8951089264124538,0.8951089264124538,0.9117706589718716,1.6573366103813365,1.6323440115422,1.6573366103813365
25,6,4,projection,0.9692141458141919,1.0930411420928294,1.0930411420928294,0.4848685524992078,0.9692141458141919,0.9692141458141919,0.4315463198879712,tolerance_met,413,427.89162227131703,441.7121109037385,434.8018665875278,435.330999744975,0.903309760031,0.9418730588295,0.9225914094302501,0.908482673105,0.3471489121153752,0.3402361727635072,0.3709649681286175,0.8773324780207712,0.8604744729391999,0.8773324780207712,1.684001282968853,1.684001282968853,1.7092882905911826
26,6,12,projection,0.7960920011721555,1.3808375212855708,1.3808375212855708,0.680266807982496,0.7960920011721555,0.7960920011721555,0.49222099285848725,tolerance_met,426,427.89162227131703,441.7121109037385,434.8018665875278,438.417661834733,0.9418730588295,1.0,0.9709365294147501,0.966870146524,0.385956087059456,0.3699062032463318,0.4043656977316807,0.8381718810710224,0.8211196889752882,0.8647179848781658,1.7427421783935215,1.7029230226827228,1.7683204665370311
27,7,3,projection,0.7782165342383678,0.7943456400282685,0.7943456400282685,0.4884009469179394,0.7782165342383678,0.7782165342383678,0.4189454678822435,tolerance_met,437,435.481523397475,442.8963065496065,439.1889149735407,442.0,1.1022143015095,1.150091301481,1.12615280149525,1.133333333333,0.5080654205809555,0.4861752479716204,0.5211581790605292,0.7494641744959538,0.7494641744959538,0.7626131654952577,1.875803738256091,1.8560802517571215,1.875803738256091
28,7,2,projection,0.46867782176803985,0.5425190067092558,0.5425190067092558,0.2712595033546279,0.46867782176803985,0.46867782176803985,0.2343389108842473,tolerance_met,430,436.08016366015704,442.8963065496065,439.48823510488177,440.10781018282,1.029764307521,1.1022143015095,1.06598930451525,1.078284541125,0.4670205636455906,0.4670205636455906,0.4853103892896823,0.7774720450410705,0.7715009029893929,0.7774720450410705,1.8337919324383392,1.8337919324383392,1.842748645515925
29,5,2,projection,0.22683442091454253,0.25834525593938906,0.25834525593938906,0.12917262796969453,0.22683442091454253,0.22683442091454253,0.11341721045749864,tolerance_met,450,441.7121109037385,450.980503020174,446.34630696195626,446.887819552216,0.8,0.866666666667,0.8333333333335,0.826969488194,0.285384596907376,0.285384596907376,0.29203598844797,0.9168302174267938,0.9141158829200896,0.9168302174267938,1.6247546738598302,1.6247546738598302,1.6288261756199405
