region_id,constraint_order,constraint_name,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
27,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
28,0,reaction_linearized_adaptive,-3.6749731205419423,1.0,-1257.7325448574381,-1509.816192606832,319.72475562916264,-2791.224255464595
28,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
29,0,reaction_linearized_adaptive,-4.3886374022750445,1.0,-2539.143861711221,-1580.111887892099,445.48607221826114,-3409.9229252427713
29,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
30,0,reaction_linearized_adaptive,-4.0578380734011645,1.0,-2037.906520647089,-1502.7762411688484,393.655605597826,-3126.2450600203165
30,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
31,0,reaction_linearized_adaptive,-4.867871956338966,1.0,-2255.0888176157396,-1912.7728761437506,464.8073231416831,-3793.335197071725
31,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
32,0,reaction_linearized_adaptive,-4.238545634789311,1.0,-1793.3488561046775,-1669.9480270456777,392.4411164350946,-3264.7742793509333
32,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
33,0,reaction_linearized_adaptive,-5.9991984601345365,1.0,-2529.0538533910085,-2528.0538533907065,563.4775053043845,-4737.349311980448
33,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
34,0,reaction_linearized_adaptive,-5.071626052617297,1.0,-1935.0249415281255,-2138.645897040188,460.6389794509824,-3949.665727779853
34,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
35,0,reaction_linearized_adaptive,-6.358831562797668,1.0,-2400.664942410179,-2810.585492637136,582.2479421866075,-5032.719250690392
35,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
36,0,reaction_linearized_adaptive,-6.851188576882471,1.0,-2445.235394800562,-3131.1754245055135,621.0388821858614,-5446.644962793018
36,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
37,0,reaction_linearized_adaptive,-6.318800909029029,1.0,-2145.9341524255733,-2891.5030728485235,563.6928662631764,-4989.859441566781
37,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
38,0,reaction_linearized_adaptive,-4.965431195629222,1.0,-1606.2080714395577,-2204.46702530515,432.4896171135351,-3850.248061983596
38,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
39,0,reaction_linearized_adaptive,-5.533560645446222,1.0,-1672.3893791346793,-2568.8607216321807,477.04802714806885,-4319.794748588702
39,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
40,0,reaction_linearized_adaptive,-5.165103770730383,1.0,-2798.4376204011373,-1954.692433615013,517.0188621624775,-4054.5564039010405
40,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
41,0,reaction_linearized_adaptive,-5.131788595975337,1.0,-2657.1748030492154,-1966.9304691923132,506.8020199959634,-4022.8688185141586
41,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
42,0,reaction_linearized_adaptive,-6.800468967924019,1.0,-2251.6931917976303,-3184.4884913610836,605.333964502558,-5396.746988318084
42,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
43,0,reaction_linearized_adaptive,-7.512471464210407,1.0,-3090.4060315315387,-3331.8124986247035,708.4782143308373,-6027.192432175274
43,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
44,0,reaction_linearized_adaptive,-6.300926341501182,1.0,-3806.213324920393,-2393.5249054977767,656.194888210488,-5028.341399548846
44,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
45,0,reaction_linearized_adaptive,-7.237813011159886,1.0,-3350.118822743951,-3066.2596917100973,702.6587354198864,-5803.507869664569
45,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
46,0,reaction_linearized_adaptive,-7.738981326927352,1.0,-4242.310874618679,-3146.426754594455,789.3736383031652,-6255.852191236751
46,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
47,0,reaction_linearized_adaptive,-7.15727742349641,1.0,-3577.3928610347652,-2952.1139733705313,709.1512860412092,-5742.602358708648
47,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
