model,run,mu_rxn,mu_mb,training_time_sec,rmse_total,violation_pl,violation_original_nonlinear,violation_rxn,violation_mb,prediction_time_sec
NN,27,0.0,0.0,7.558684137184173,0.07991705266897135,70.35055907735516,71.30404572037618,142.60124263067888,0.006848810073500431,0.00036145979538559914
NN,28,0.0,0.0,7.6398164932616055,0.09553396809318489,55.20248608812575,56.748104948919234,113.46868707187004,0.027522825968428727,0.0003548087552189827
NN,29,0.0,0.0,7.615833426825702,0.06909766528676065,57.03870659554915,59.49826352476679,118.99035958189648,0.006167467637108635,0.0004457966424524784
NN,30,0.0,0.0,7.4951700293459,0.08856537952109769,67.81958788177297,68.03103288084137,136.0498192221323,0.012246539550436178,0.0003622029908001423
NN,31,0.0,0.0,7.607311250176281,0.03957994272485078,29.40586363844466,33.82609972685344,67.62927457096123,0.02292488274565876,0.00039590150117874146
NN,32,0.0,0.0,7.670818477869034,0.058955667053577895,40.296965889384346,44.43272491753868,88.84685260813673,0.01859722694061901,0.00039787590503692627
NN,33,0.0,0.0,7.520897762849927,0.11652368979368997,89.34391944876563,86.82907246904676,173.64160202981645,0.016542908277054028,0.000372840091586113
NN,34,0.0,0.0,7.618946783710271,0.08115825964107021,65.70631478722808,67.36333426730769,134.72243982909185,0.004228705523537624,0.00036544399335980415
NN,35,0.0,0.0,7.476704202126712,0.09942218889871339,73.95696117308856,72.36771737799263,144.71887600381228,0.016558752172962574,0.00036392221227288246
NN,36,0.0,0.0,7.577384473755956,0.03875802885862161,16.957681923228506,21.01305804503777,42.000363590653876,0.025752499421659244,0.0003631669096648693
NN,37,0.0,0.0,7.645749385934323,0.08498081458566069,69.50142759721837,69.17202693413108,138.31712732814458,0.026926540117580566,0.0003621270880103111
NN,38,0.0,0.0,7.426995208021253,0.10612833122180261,83.90518944039428,81.24085096622068,162.47210385314838,0.009598079292964582,0.0003642360679805279
NN,39,0.0,0.0,7.681328278966248,0.08467271525912014,37.42285840875255,36.89932768599476,73.77822276432529,0.020432607664226273,0.00036370614543557167
NN,40,0.0,0.0,7.589535088278353,0.07746882382579086,67.86932721812977,69.22234313232137,138.42296725523275,0.021719009409986303,0.0003573712892830372
NN,41,0.0,0.0,7.630617514718324,0.08947936318324773,67.15509663624054,66.68159834183749,133.3519165137407,0.011280169934278739,0.0003571072593331337
NN,42,0.0,0.0,7.558733037207276,0.09234495103716665,62.648051250235675,61.8579276862249,123.69601314901362,0.01984222343618484,0.0003644912503659725
NN,43,0.0,0.0,7.535794532857835,0.1104822863112399,50.49836247345411,47.121590710525815,94.23109143409677,0.012089986954854715,0.00038105761632323265
NN,44,0.0,0.0,7.549499634187669,0.06143502948605565,49.55568089319819,53.59133192730845,107.15944090021007,0.023222954406836967,0.0003637443296611309
NN,45,0.0,0.0,7.474325273185968,0.09884814732275805,77.14114028272182,74.76062729425323,149.50582364969344,0.015430938813005831,0.00036585377529263496
NN,46,0.0,0.0,7.612575280945748,0.04385913850380081,32.100179068426925,36.49548277178378,72.95739828469016,0.03356725887741595,0.00037307199090719223
NN,47,0.0,0.0,7.689478046726435,0.10932290792435291,28.524632922066193,32.35519519767244,64.65188263371348,0.058507761631389286,0.00037159863859415054
NN,48,0.0,0.0,7.56794978491962,0.044673140151539774,42.671313547034956,46.17715031355809,92.34320476900496,0.011095858111206721,0.0003623068332672119
NN,49,0.0,0.0,7.5399748077616096,0.09444626343281481,65.27248160325266,62.40216041112246,124.79659068210624,0.007730140138673801,0.00038997502997517586
PINN,0,3e-06,0.001,9.732869890052825,0.11107373208174968,11.479734090133318,13.182411992994332,26.29440807851924,0.07041590746942748,0.0003681229427456856
PINN,1,3e-06,0.001,9.714932912960649,0.09195211385681598,11.921789611038161,14.557080651149183,29.034100917180417,0.0800603851179497,0.0003696279600262642
PINN,2,3e-06,0.001,9.791545037180185,0.09718490759991905,5.770952611513518,6.315150454886471,12.55652641899961,0.07377449077333018,0.00036538345739245415
