region_id,iT,iC,Temperature (T),Cao,Ca,Cb,Cc,is_center
9,3,0,400.0,0.9333332777023315,0.3925771755442641,0.9184877956838756,1.6222683064741914,0
10,3,1,380.0,1.0,0.46219638796109996,0.9243927759222007,1.6134108361166994,1
10,3,1,379.9999694824219,1.0,0.46219642621002743,0.9243928524200556,1.6134107213699167,0
10,3,1,360.0,1.0666667222976685,0.5457799421286922,0.9582264396620479,1.5626603405069284,0
10,3,1,400.0,1.0666667222976685,0.49064355663074494,0.8479536686661563,1.7280694970007673,0
11,3,2,380.0,1.1333333333333333,0.5639044811203382,0.8611422955740051,1.70828655663899,1
11,3,2,379.9999694824219,1.1333333253860474,0.5639045139680273,0.8611423771639581,1.708286434254062,0
11,3,2,360.0,1.0666667222976685,0.5457799421286922,0.9582264396620478,1.5626603405069281,0
11,3,2,360.0,1.2000000476837158,0.6506422071218327,0.9012843188762336,1.6480735216856495,0
11,3,2,400.0,1.0666667222976685,0.4906435566307494,0.8479536686661522,1.728069497000767,0
11,3,2,400.0,1.2000000476837158,0.5947408487776394,0.7894816021878459,1.8157775967182304,0
12,4,0,410.0,0.8666666666666667,0.33774203138057424,0.9421507294278335,1.5867739058582586,1
12,4,0,410.0,0.8666666746139526,0.33774203674124265,0.9421507242545866,1.5867739136181236,0
12,4,0,400.0,0.800000011920929,0.30220432088318966,1.0044086179245217,1.4933870731132175,0
12,4,0,400.0,0.9333332777023315,0.39257717554427024,0.9184877956838686,1.6222683064741925,0
12,4,0,420.0,0.800000011920929,0.28633749765715094,0.9726749714724304,1.5409875427913478,0
12,4,0,420.0,0.9333332777023315,0.37570472837340846,0.8847429013421324,1.6728856479867906,0
13,4,1,410.0,1.0,0.4318067212403433,0.8636134424806922,1.7045798362789644,1
13,4,1,400.0,1.0666667222976685,0.4906435566307478,0.8479536686661536,1.7280694970007668,0
13,4,1,420.0,1.0666667222976685,0.47326214403288935,0.8131908434704433,1.7802137347943359,0
14,4,2,410.0,1.1333333333333333,0.5329034144699533,0.799140162273235,1.8012897565901451,1
14,4,2,410.0,1.1333333253860474,0.5329034082674432,0.7991401657627908,1.8012897513558135,0
14,4,2,400.0,1.0666667222976685,0.4906435566307423,0.8479536686661585,1.7280694970007677,0
14,4,2,400.0,1.2000000476837158,0.5947408487776311,0.7894816021878521,1.8157775967182328,0
14,4,2,420.0,1.0666667222976685,0.473262144032892,0.813190843470441,1.7802137347943354,0
14,4,2,420.0,1.2000000476837158,0.5771879810907053,0.7543758668139989,1.868436199779012,0
15,5,0,430.0,0.8666666666666667,0.32255199615272256,0.9117706589720713,1.632344011541873,1
15,5,0,430.0,0.8666666746139526,0.3225520014578242,0.9117706536877384,1.6323440194683903,0
15,5,0,420.0,0.800000011920929,0.28633749765715044,0.9726749714724272,1.540987542791351,0
15,5,0,420.0,0.9333332777023315,0.37570472837340746,0.8847429013421341,1.6728856479867902,0
15,5,0,440.0,0.800000011920929,0.27267919094381854,0.9453583580458266,1.5819624629312836,0
15,5,0,440.0,0.9333332777023315,0.3611605346624881,0.8556545139203262,1.7165182291195176,0
16,5,1,430.0,1.0,0.4159363708291958,0.8318727416584232,1.752190887512381,1
16,5,1,420.0,1.0666667222976685,0.47326214403288935,0.8131908434704433,1.7802137347943356,0
16,5,1,440.0,1.0666667222976685,0.4582913492288937,0.7832492538625698,1.825126119206205,0
17,5,2,430.0,1.1333333333333333,0.5167473369581307,0.7668280072495797,1.8497579891256228,1
17,5,2,430.0,1.1333333253860474,0.5167473307638256,0.7668280107555412,1.8497579838666804,0
17,5,2,420.0,1.0666667222976685,0.4732621440328942,0.8131908434704405,1.7802137347943339,0
17,5,2,420.0,1.2000000476837158,0.5771879810907153,0.7543758668139917,1.8684361997790087,0
17,5,2,440.0,1.0666667222976685,0.45829134922893255,0.7832492538625329,1.8251261192062032,0
17,5,2,440.0,1.2000000476837158,0.562097958668702,0.7241958219697786,1.9137062670452352,0
18,6,0,450.0,0.8666666666666667,0.30925796065169653,0.8851825879700376,1.6722261180449325,1
18,6,0,450.0,0.8666666746139526,0.30925796590707944,0.8851825825862578,1.6722261261206153,0
18,6,0,440.0,0.800000011920929,0.2726791909438345,0.9453583580458096,1.581962462931285,0
18,6,0,440.0,0.9333332777023315,0.3611605346625019,0.8556545139203104,1.7165182291195193,0
18,6,0,460.0,0.800000011920929,0.2606235217691405,0.9212470196964839,1.6181294704553046,0
18,6,0,460.0,0.9333332777023315,0.34830351546724286,0.8299404755296291,1.7550892867054597,0
19,6,1,450.0,1.0,0.40204433937299666,0.8040886787460677,1.7938669818809359,1
19,6,1,440.0,1.0666667222976685,0.45829134922892467,0.7832492538625396,1.825126119206204,0
19,6,1,460.0,1.0666667222976685,0.44506607334045073,0.7567987020855478,1.86480194687167,0
20,6,2,450.0,1.1333333333333333,0.5026245753212821,0.7385824839758253,1.892126274036226,1
20,6,2,440.0,1.0666667222976685,0.4582913492288834,0.78324925386257,1.825126119206215,0
20,6,2,440.0,1.2000000476837158,0.5620979586686649,0.7241958219698046,1.9137062670452463,0
20,6,2,460.0,1.0666667222976685,0.44506607334047005,0.756798702085531,1.8648019468716677,0
20,6,2,460.0,1.2000000476837158,0.5487901947730008,0.6975802941783859,1.9536295587323291,0
