region_id,T_low,T_high,width,n_points,mean_abs_f_PL,max_abs_f_PL,rmse_f_PL,mean_abs_y_PL_scaled,max_abs_y_PL_scaled
65,437.5,440.3125,2.8125,1,9.143397664956865e-05,9.143397664956865e-05,9.143397664956865e-05,1.1408713251892522e-08,2.2812689126627816e-08
66,440.3125,441.71875,1.40625,1,2.749063469309476e-06,2.749063469309476e-06,2.749063469309476e-06,3.09139473279411e-10,6.181639089497537e-10
67,441.71875,442.421875,0.703125,1,5.791576381852792e-05,5.791576381852792e-05,5.791576381852792e-05,6.1850304877708595e-09,1.2367881441210926e-08
68,442.421875,443.125,0.703125,1,0.0006272541382941199,0.0006272541382941199,0.0006272541382941199,6.362983876832355e-08,1.272380510397575e-07
69,443.125,443.828125,0.703125,0,,,,,
70,443.828125,444.53125,0.703125,1,0.00017395845236478635,0.00017395845236478635,0.00017395845236478635,1.651494024867972e-08,3.302465717558434e-08
71,444.53125,445.9375,1.40625,1,0.0007245318315654004,0.0007245318315654004,0.0007245318315654004,6.636240542275591e-08,1.327049187205276e-07
72,445.9375,446.640625,0.703125,0,,,,,
73,446.640625,447.34375,0.703125,2,0.00016392707414070173,0.0003269808834147625,0.0002312112245439501,1.3472342611879165e-08,5.37374285070058e-08
74,447.34375,448.75,1.40625,1,0.0010697142311073549,0.0010697142311073549,0.0010697142311073549,8.289558232436416e-08,1.6576960409908637e-07
75,448.75,449.453125,0.703125,1,0.00015964366491516557,0.00015964366491516557,0.00015964366491516557,1.1953483610345946e-08,2.3904017987241843e-08
76,449.453125,450.15625,0.703125,1,0.0006154608520319016,0.0006154608520319016,0.0006154608520319016,4.3843577971861926e-08,8.767671100251562e-08
77,450.15625,451.5625,1.40625,1,0.00033176839190218743,0.00033176839190218743,0.00033176839190218743,2.249043647613765e-08,4.497578826034854e-08
78,451.5625,452.265625,0.703125,1,0.00015902942061529757,0.00015902942061529757,0.00015902942061529757,1.0353458979039942e-08,2.0704696068740702e-08
79,452.265625,452.96875,0.703125,0,,,,,
80,452.96875,453.3203125,0.3515625,1,0.00037841479934286326,0.00037841479934286326,0.00037841479934286326,2.324508341366993e-08,4.648547113905721e-08
81,453.3203125,453.671875,0.3515625,0,,,,,
82,453.671875,454.375,0.703125,0,,,,,
83,454.375,455.78125,1.40625,1,0.00011962036955992517,0.00011962036955992517,0.00011962036955992517,6.664140998295191e-09,1.3327057069023596e-08
84,455.78125,456.484375,0.703125,0,,,,,
85,456.484375,457.1875,0.703125,2,0.0011333581461485664,0.0016956178151303902,0.0012651626862996178,5.82533081957178e-08,1.7523845985412123e-07
86,457.1875,458.59375,1.40625,0,,,,,
87,458.59375,459.296875,0.703125,1,6.851357898085553e-05,6.851357898085553e-05,6.851357898085553e-05,3.1475691867714297e-09,6.294658183580992e-09
88,459.296875,459.6484375,0.3515625,1,1.4747402019565925e-05,1.4747402019565925e-05,1.4747402019565925e-05,6.615990718235784e-10,1.3230997408797407e-09
89,459.6484375,460.0,0.3515625,1,0.0007361942703028035,0.0007361942703028035,0.0007361942703028035,3.224656841549489e-08,6.4488419437847e-08
